id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,faixa_preco_24h
bitcoin,btc,Bitcoin,591265.0,11764648931854,130516859322.0,597920.0,589617.0,-0.06035,2025-07-08 16:15:55.547000+00:00,8303.0
ethereum,eth,Ethereum,14002.64,1690968395108,83695994127.0,14152.83,13816.19,1.07373,2025-07-08 16:15:57.258000+00:00,336.6399999999994
tether,usdt,Tether,5.46,867217846826,226749838351.0,5.49,5.45,0.0644,2025-07-08 16:16:01.079000+00:00,0.040000000000000036
ripple,xrp,XRP,12.5,738313511397,17845457656.0,12.81,12.36,-2.43981,2025-07-08 16:16:00.056000+00:00,0.45000000000000107
binancecoin,bnb,BNB,3595.72,524911609873,3783120333.0,3635.94,3591.18,-0.05223,2025-07-08 16:16:03.121000+00:00,44.76000000000022
solana,sol,Solana,818.34,438759133972,25357943557.0,831.24,811.13,-0.88738,2025-07-08 16:16:00.148000+00:00,20.110000000000014
usd-coin,usdc,USDC,5.46,338455348584,26270617634.0,5.49,5.45,0.05657,2025-07-08 16:16:01.583000+00:00,0.040000000000000036
tron,trx,TRON,1.56,148420390000,1736724309.0,1.58,1.56,-0.18906,2025-07-08 16:15:53.351000+00:00,0.020000000000000018
dogecoin,doge,Dogecoin,0.923039,138437844452,5935696408.0,0.941033,0.911039,0.22681,2025-07-08 16:15:57.050000+00:00,0.029993999999999965
staked-ether,steth,Lido Staked Ether,13993.73,127849752437,62464979.0,14152.89,13814.13,1.00163,2025-07-08 16:16:00.451000+00:00,338.7600000000002
cardano,ada,Cardano,3.17,114763000247,2823014206.0,3.22,3.15,-1.13098,2025-07-08 16:15:58.830000+00:00,0.07000000000000028
wrapped-bitcoin,wbtc,Wrapped Bitcoin,591104.0,76239699381,818529822.0,597515.0,589219.0,0.03096,2025-07-08 16:16:01.416000+00:00,8296.0
hyperliquid,hype,Hyperliquid,205.6,68672369851,1491751999.0,216.62,203.58,-4.81094,2025-07-08 16:15:56.713000+00:00,13.039999999999992
wrapped-steth,wsteth,Wrapped stETH,16910.15,57286457010,249126924.0,17088.95,16683.98,1.19127,2025-07-08 16:16:01.220000+00:00,404.97000000000116
bitcoin-cash,bch,Bitcoin Cash,2752.56,54791309280,1148787913.0,2754.96,2685.15,2.1066,2025-07-08 16:16:03.087000+00:00,69.80999999999995
sui,sui,Sui,15.67,54208148369,3412799217.0,15.88,15.54,-0.91951,2025-07-08 16:16:00.611000+00:00,0.34000000000000163
chainlink,link,Chainlink,73.62,50025274312,1442655021.0,74.2,72.52,-0.49817,2025-07-08 16:15:55.492000+00:00,1.6800000000000068
leo-token,leo,LEO Token,49.6,45801830987,13074217.0,49.84,49.14,0.70714,2025-07-08 16:15:57.315000+00:00,0.7000000000000028
stellar,xlm,Stellar,1.39,42914207378,1132983112.0,1.4,1.35,-0.12237,2025-07-08 16:16:00.451000+00:00,0.04999999999999982
avalanche-2,avax,Avalanche,98.0,41444039774,1185150389.0,99.84,97.21,-0.45089,2025-07-08 16:15:54.568000+00:00,2.6300000000000097
usds,usds,USDS,5.46,40313895133,21811349.0,5.49,5.45,0.05785,2025-07-08 16:16:00.890000+00:00,0.040000000000000036
shiba-inu,shib,Shiba Inu,6.425e-05,37894514399,775167846.0,6.524e-05,6.283e-05,1.37496,2025-07-08 16:16:00.132000+00:00,2.409999999999999e-06
wrapped-eeth,weeth,Wrapped eETH,15003.05,37671650652,24920518.0,15186.39,14801.76,1.09851,2025-07-08 16:16:01.142000+00:00,384.6299999999992
the-open-network,ton,Toncoin,15.08,37263257192,1015994213.0,15.22,14.98,-0.60079,2025-07-08 16:16:01.242000+00:00,0.2400000000000002
hedera-hashgraph,hbar,Hedera,0.875008,37166256913,979244577.0,0.881626,0.852015,-0.05381,2025-07-08 16:15:56.861000+00:00,0.029611000000000054
weth,weth,WETH,14005.0,36567328983,1828459919.0,14157.25,13813.36,1.07853,2025-07-08 16:16:02.011000+00:00,343.8899999999994
litecoin,ltc,Litecoin,471.72,35934730900,1633129832.0,476.48,467.27,0.2326,2025-07-08 16:15:58.207000+00:00,9.210000000000036
whitebit,wbt,WhiteBIT Coin,245.03,35329198493,211184412.0,247.51,244.7,-0.20923,2025-07-08 16:16:01.044000+00:00,2.8100000000000023
